,name,type
137,[각인/선물포장] 미스 디올 블루밍 부케 롤러-펄 오 드 뚜왈렛,birthday
138,"""활력이필요한당신에게"" [추천 BEST] GNC 멀티비타민 + 밀크씨슬 선물세트",birthday
139,[홀리데이 선물포장/홀리데이 카드] 키엘 립밤 15ml (5종 중 택1),birthday
140,"[친구맺고 3%적립] [단독/선물포장] ""향기로운 일상"" 바디로션&미니 핸드크림 패키지 세트(톡별)",birthday
141,"""하루의 피로가 싹"" [선물추천/후기가 증명하는 만족도] 알로코리아 저주파 목 어깨 마사지기 전기 전신 안마기",birthday
142,[선물포장/엽서] 비건 립밤 (18종 중 택1),birthday
143,"""감성인테리어"" 콘크리트 캔들 스몰 (3종 택1)",birthday
144,[각인/선물포장] 루즈 디올,birthday
145,"[샘플 2종] ""달콤한 꿀잠선물"" 슬리피 - 기프트 (샤워젤+바디로션)/생일 선물",birthday
146,마스카포네 티라미수,birthday
147,[각인/선물포장] 포에버 스킨 글로우 쿠션,birthday
148,[기프트박스] 멀티비타민 맨/우먼/칼슘+D/에너지B/프로바이오100*2통,birthday
149,떠먹는 아이스박스,birthday
150,"""촉촉함이 가득"" 수제 티라미수 케이크",birthday
151,[선물하기 단독] '비건' 퍼스트 미스트 세럼 세트(100ml+50m+파우치),birthday
152,"""행운 듬뿍"" 떠먹는 아이스박스 + 아이스 초콜릿 라떼 (R) 2잔",birthday
153,"""내가 많이 응원해"" 떠먹는 아이스박스 + 아메리카노 (R)",birthday
154,"[선물포장/메세지카드] ""안기고 싶은 포근함"" 시그니처 퍼퓸 50ml (2종 택1)",birthday
155,립케어 (립밤 or 립살브),birthday
156,"""선물추천"" 생일과 파티에 어울리는 딸기 크레이프 케이크",birthday
157,"[무료 각인/케이크박스 포장] ""생일축하해"" 키엘 수분크림 세트",birthday
158,"""제니PICK"" [선물세트] 바디워시&로션 세트 (3종 택1)",birthday
159,"""타닥타닥 타는 소리"" 갈색병 소형 우드 심지 소이캔들 향초 불멍",birthday
160,"""당신을 위한 면역력"" 원기담 6년근 홍삼정 활력 20gx20병",birthday
161,"""말랑 말랑 힐링템"" 춘식이 미니 페이스 쿠션",birthday
162,"[남자선물]""하나로 피부관리 끝"" 아쿠아파워 올인원 200ml 비오템옴므 홀리데이 세트",birthday
163,"""따뜻한 마음"" 캔들 워머 + 프리미엄자 향초 세트 (미세 빛조절)",birthday
164,[선물포장] 바이레도 바디로션 225ml (6종 택1),birthday
165,잔액관리교환권 3만원권,birthday
166,뿌링클+케이준프라이+뿌링치즈볼+콜라 1.25L,birthday
167,[선물포장] 오드뚜왈렛 50ml (8종 택1),birthday
168,"""생일 축하해 세트"" 허니 카라멜 브레드+아메리카노2잔",birthday
169,[선물포장] 바디워시 300ML (6종 중 택1),birthday
170,'꿀잠 로션' 슬리피 95g - 바디 로션,birthday
171,"""매일 예쁘고 포근해"" 수면 파자마 상하의 14종 택1/남녀커플 상품 추가",birthday
172,[무료각인&선물포장] 엉크르 드 뽀 쿠션,birthday
173,[크리스마스] 오트밀크로 만든 카카올라 생초콜릿 5종 & 유기농우유로 만든 꼬르지엘모 생초콜릿 5종,birthday
174,뿌링클 콤보+콜라1.25L,birthday
175,[홀리데이 선물포장 / 홀리데이 카드] 키엘 핸드크림 자몽 30ml,birthday
176,[선물포장]메종마르지엘라 레이지 선데이 모닝 EDT 30ml,birthday
177,"""잘자요 꿀린이"" 꿀잠타는 기린이 모찌 바디필로우 (톡별)",birthday
178,부드러운 고구마 라떼 케이크,birthday
179,'뭘 좋아할지 몰라서 다 준비했어' 털 실내화 슬리퍼 19종 택1 + 더스트백포장,birthday
180,[토닥토닥 마음선물] 해-삐! 상큼한 딸기가 그대로 쏙! 잔망루피 딸기크림떡,birthday
181,[2022 홀리데이] 핸드 크림 & 립 듀오 (3종 택1),birthday
182,"""신선 냉장""모듬구이 선물세트 800g(본갈비살+살치살+부채살+척아이롤)",birthday
183,"""힘나는 하루 되세요"" GNM 조정석 간건강 밀크씨슬 실리마린 선물세트 (총 6개월분) / 밀크시슬",birthday
