,name,price,type
89,[친구맺고 3%적립] [본사정품/쇼핑백증정] Twist 로즈골드 팔찌 5620552,"195,000원",luxury
90,[친구맺고 3%적립] [골든듀] 해피듀3 목걸이 (18K/다이아몬드),"620,000원",luxury
91,[친구맺고 3%적립] [공식] 메이페어 바스 릴리프 목걸이 실버,"280,000원",luxury
92,[공식] 미니 바스 릴리프 목걸이 골드,"280,000원",luxury
93,[친구맺고 3%적립] [공식] 미니 바스 릴리프 목걸이 실버,"280,000원",luxury
94,[친구맺고 3%적립] [본사정품/쇼핑백증정] Swa Infinity 체인 로듐 팔찌 M 5520584,"175,000원",luxury
95,인터로킹 G 팔찌,"550,000원",luxury
96,[구찌 하트] 인터로킹 G 팔찌,"510,000원",luxury
97,[친구맺고 3% 적립] [단독10%OFF] [토리버치 공식] 토리버치 주얼리 실버 세트,"252,000원",luxury
98,"[친구맺고 3%적립] [디디에두보] ""행운을빌어요"" 천연 탄생석 목걸이 12종 택1","160,200원",luxury
99,인터로킹 G 펜던트 목걸이,"460,000원",luxury
100,[구찌 하트] 인터로킹 G 귀걸이,"440,000원",luxury
101,뉴메리컬 링,"438,000원",luxury
102,[친구맺고 3%적립] [골든듀] Best 미티오 목걸이 (18K/다이아몬드),"413,000원",luxury
103,디바스 드림 브레이슬릿,"390,000원",luxury
104,[공식] 미니 바스 릴리프 초커 목걸이 골드,"380,000원",luxury
105,[친구맺고 3%적립] [온/오프라인 BEST][신민아착용] 미스두 더블 디 14K 목걸이,"359,100원",luxury
106,[공식입점]판도라 시그니처 로고 파베 & 비디드 링_192312C01,"178,000원",luxury
107,"[친구맺고 3%적립] ""고급선물"" [단독구성/에코백 증정] 리앙플뢰르3 목걸이 (18K/다이아몬드) (211800114)","290,000원",luxury
108,[공식] 발비나 목걸이 실버,"280,000원",luxury
109,[친구맺고 3%적립] [본사정품/쇼핑백증정] Stella 로즈골드 크리스털 펄 목걸이 5645381,"275,000원",luxury
110,발렌티노 V로고 랩 어라운드 팔찌 1W2J0C31-ZXL-JV7,"270,000원",luxury
111,[공식] 미니 바스 릴리프 체인 팔찌 실버,"230,000원",luxury
112,[패키지제공&백화점A/S가능] [공식입점] 판도라 베스트 참 8종 택1,"55,000원",luxury
113,[SNS 인기] 1901 / A13 Watch Bracelet,"220,000원",luxury
114,[친구맺고 3%적립] [본사정품/쇼핑백증정] Millenia 핑크 로즈골드 목걸이 5614933,"195,000원",luxury
115,[친구맺고 3%적립] [본사정품/쇼핑백증정] Crystalline Love Heart 핑크 볼펜 5527536,"75,000원",luxury
116,[친구맺고 3% 적립] [토리버치 공식] 키라 에나멜 슬라이더 브레이슬릿,"160,000원",luxury
117,[본사정품/쇼핑백증정] Attract 화이트 로듐 뱅글 M 5556912,"195,000원",luxury
118,[친구맺고 3%적립] 디디에 두보 골드 체인 반지 2종 택 1,"102,600원",luxury
119,780 / Dotted Choker Necklace,"100,000원",luxury
120,9101 / Swarovski Pearl Stud Earring / 8mm,"100,000원",luxury
