,name,price,type,종류,소재,치수,제조사,제조국,취급시 주의사항,품질보증기준,A/S 책임자,색상,크기,제품 소재,세탁방법/취급시 주의사항,제조연월,비비안웨스트우드 / 지인터내셔날㈜,이탈리아,"수분, 직사광선, 이염, 변색, 화기 등 주의(고객센터문의)",관련 법 및 소비자 분쟁해결 규정에 따름,관련법 및 소비자 분쟁 해결기준에 따름
150,[버버리] 라이트 웨이트 체크 울 실크 스카프 8015406 MU GIANT CHECK G,"400,000원",luxury,남녀공용 머플러,울 51% + 실크 49%,총길이 220 cm X 폭 70 cm,버버리,이탈리아,"열이나 직사광선, 습기에 주의하고, 부드러운 소재를 사용하여 닦아주시기 바랍니다.",관련법률 또는 소비자분쟁해결 기준에 따라 처리,02-1544-5828,,,,,,,,,,
151,TRUNK 소프트 미디엄 백,"2,430,000원",luxury,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,
152,가죽카드 홀더,"362,000원",luxury,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,
153,프라다 사피아노 가죽 키체인 1PP128-053-F068Z 라프리마,"355,000원",luxury,키체인,SAFFIANO+METAL(소가죽+메탈),세로 10.5cm,PRADA/병행수입(라프리마),ITALY,모든 소재의 제품은 마찰시 이염이 될수 있습니다. 미사용시 평상온도의 습하지 않은 실내에서 더스트백에 보관하시기를 권장합니다. 세탁 및 염색을 필요로 할시에는 꼭 명품수선 전문점 과 상의하셔야 합니다.,관련법 및 소비자 분쟁해결기준에 따름,"라프리마/상담 1833-3946, AS 1833-9347",,,,,,,,,,
154,[친구 맺고 3%적립] [30%off][토리버치 공식]워커 탑집 카드 케이스,"150,000원",luxury,지갑,겉감 : 천연가죽(소). 안감 : 폴리에스터 100%.,F,삼성물산 패션부문,"중국,캄보디아",1. 이 제품은 가죽 배색 제품으로 세탁 불가합니다. 2. 세탁하면 가죽 부위가 수축되어 제품 형태가 변형될 수 있습니다. 3. 부분적인 오염은 발생 즉시 미지근한 중성세제로 닦아낸 후 모양을 잡아 그늘에서 건조하십시오. 4. 짙은 색상의 경우 일광에 지속적으로 노출되면 탈색될 수 있습니다.,1. 본 제품은 정부 고시 소비자분쟁해결 기준에 의거하여 고객의 피해를 보상해드립니다.,삼성물산 패션부분 1599-0007,,,,,,,,,,
155,5AC 베이비 백,"1,388,000원",luxury,상세페이지 참조,상세페이지 참조,,상세페이지 참조,상세페이지 참조,상세페이지 참조,상세페이지 참조,상세페이지 참조,상세페이지 참조,상세페이지 참조,,,,,,,,
156,골든구스 여성 런닝솔 GWF00126 F001863 10713,"858,000원",luxury,,,37사이즈 기준: 굽높이(겉굽) 4 (단위 : CM),골든구스 / 골든구스 코리아,이탈리아,"1.천연가죽제품 구두의 경우 땀이나 체열 등 습기에 노출될 경우 가죽의 이염이 발생할 수도 있으며 형태의 변형이발생할수 있으니 가급적 비오는 날이나 습기가많은 장소에는 착용을 하시지 않는것이 좋습니다.      2.제품을 보관할 경우 제품형태의 변형을 막기 위해서 shoe keeper(슈키퍼)를 사용하여 더스트백에 넣은 후 건냉한 곳에 보관하시면 좋습니다.      3.제품에 사용된 가죽은 통기성이 뛰어난 천연가죽으로 제작되어 땀의 흡수 및 마찰에 의해 가죽 염색이 양말에 베어나올수도 있습니다. 초기 사용시 밝은 색 양말의 착용을 피하시는 것이 좋습니다.      4.상품이 물에 젖었을 경우에는 마른 수건으로 물기를 제거한 후 통풍이 잘되는 그늘에서 건조하시기 바랍니다. 직사광선이나 열로 직접 건조하면 변질될 우려가 있습니다.      5.세탁 시 또는 오염이 되었을 때에는 가죽 전문 세탁업체에게 보내어 세탁을 하시고 적합하지 않은 제품(일반세제나 벤졸 등)을 가죽에 사용하였을 경우 얼룩이 생겨 지워지지 않을 수 있음을 알려드립니다.      6.단, 소재가 쎄무 종류일 경우에는 구둣솔 및 고무지우개만 사용하십시오. 가죽 염료는 수성이므로 면, 마 등의 흰 천연 섬유에 오염될 염려가 있으니 습기, 땀 등에 주의를 요합니다.      7.상품의 용도 이외에는 사용을 금합니다.       ※제품의 보다 안전한 사용을 위해 제품에 부착된 케어라벨을 반드시 확인한 후 사용하여 주십시오.",구매일로부터 1년,(주)스타일쉽 고객센터 : 1811-4073,상세페이지 참조,,겉감: 나일론 39% 폴리에틸렌 22% 면 19% 폴리에스터 17% 소 가죽 3% 안감: 면 51% 소 가죽 49% 밑창: 고무 100%,,,,,,,
157,[T 라인] 그레인 레더 클래식 카드지갑,"460,000원",luxury,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,제조자 : TOM FORD DISTRIBUTION S.R.L. [수입자 - 톰포드리테일코리아],상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,톰포드리테일코리아 (02-6205-2322),,,,,,,,,,
158,[MARKDOWN 30% 할인]RELATIVITY 미디엄 백,30%,luxury,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,
159,폴디드 멀티 카드 지갑,"400,000원",luxury,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,
