,name,price,type
92,"""맛있는 면역선물"" 캐나다 허벌랜드 면역부스트 식물성 구미젤리비타민/ 30일분","16,900원",health
93,[경복궁] 마음을 전하는 선물세트 (한우불고기+궁중본갈비+궁중소갈비찜+양념불고기),"109,000원",health
94,"""뼛속까지생각하는선물"" GNM 칼슘 마그네슘 아연 비타민D 망간 뼈건강 선물세트 (3개입/총9개월분)","32,900원",health
95,"""피부에 남는선물🎁"" [후기이벤트] 에버콜라겐 타임비오틴 업 30포 / 카카오 단독 선물세트","32,900원",health
96,[에코백 & 선물포장] 영양제 3종으로'하루 종일 생생하게' HNB 데일리 루틴 선물set,"39,000원",health
97,"""RU OK?👌🏻"" RU21 비타민C 6정 x 4개 선물세트 / 데일리비타민도 OK! 숙취에도 OK!","24,000원",health
98,"""말대신 센스있는 선물"" 츄어블 멀티비타민 포맨/포우먼 (총 4개월분)","20,000원",health
99,"""비타민선물🎁"" 고려은단 멀티비타민 올인원 종합비타민 60캡슐(2개월)","24,900원",health
100,"""선물 만족도 92%"" 건강선물 오아 바디스팟W EMS+손목보호대 미니 저주파마사지기","29,900원",health
101,"""간 건강엔 밀크씨슬"" [특별구성] GNC 밀크씨슬 (60캡슐) +필케이스 증정","19,900원",health
102,"""커피로는 부족할 때"" [온누리약국개발] 액상으로 흡수빠른 고함량 듀얼비타민 프레스샷 15ml x 10개입","29,900원",health
103,"""The1st 콜라겐"" [보자기포장] ""더 예뻐지는 선물"" 슈퍼콜라겐 에센스 20입+비타민 2주","49,500원",health
104,"""하루 끝 휴밍 시작"" CODE9 휴밍 저주파 목안마기 무선 목어깨 마사지기","34,900원",health
105,[맛있는 면역 2병선물세트]캐나다 허벌랜드 면역부스트 식물성 구미젤리비타민/ 2개월분,"29,900원",health
106,"""파우치증정"" 눈건강을 선물해요! 아이콕 눈 안마기 무선 진동 온열 (톡별)","28,900원",health
107,"""굿바이 스트레스"" 스트레스 픽스 오일 세트 (톡별)","36,000원",health
108,락티브 오은영 메가타민 활력엔 비타민B 컴플렉스 60정/2개월분 + 쇼핑백동봉,"19,900원",health
109,"""오늘 하루도 힘내세요"" 피로엔 애드마일스 멀티비타민 + 밀크씨슬 선물세트","24,900원",health
