,name,price,type
145,[선물포장] 발망헤어 리미티드 에디션 바렛 푸어 슈브 라지,"140,000원",luxury
146,프라다 1PP122 QWA F0002 사피아노 키체인 카드지갑,"609,000원",luxury
147,프라다 1TR264 EGY F0002 루퍼스 메탈 로봇 키링,"299,000원",luxury
148,[구찌 아따슈] 라지 숄더백,"3,600,000원",luxury
149,[오피디아] GG 스몰 숄더백,"1,940,000원",luxury
150,[버버리] 라이트 웨이트 체크 울 실크 스카프 8015406 MU GIANT CHECK G,"400,000원",luxury
151,TRUNK 소프트 미디엄 백,"2,430,000원",luxury
152,가죽카드 홀더,"362,000원",luxury
153,프라다 사피아노 가죽 키체인 1PP128-053-F068Z 라프리마,"355,000원",luxury
154,[친구 맺고 3%적립] [30%off][토리버치 공식]워커 탑집 카드 케이스,"150,000원",luxury
155,5AC 베이비 백,"1,388,000원",luxury
156,골든구스 여성 런닝솔 GWF00126 F001863 10713,"858,000원",luxury
157,[T 라인] 그레인 레더 클래식 카드지갑,"460,000원",luxury
158,[MARKDOWN 30% 할인]RELATIVITY 미디엄 백,30%,luxury
159,폴디드 멀티 카드 지갑,"400,000원",luxury
160,[공식]롱샴 르 플리아쥬 그린 숄더백 L2605919001,"200,000원",luxury
161,[친구맺고 3% 적립] [30%off][토리버치 공식]엘라 미니 토트,"259,000원",luxury
162,발렌시아가 BB로고 카드지갑 674854-2101O-1000,"280,000원",luxury
163,GG 마틀라세 뷰티 케이스,"970,000원",luxury
164,생로랑 575726 0SX0E 1000 모노그램 실버로고 반지갑,"539,000원",luxury
165,[친구 맺고 3%적립] [30%off][토리버치 공식]티 모노그램 도미노 카드 포켓,"112,000원",luxury
166,[친구맺고 3% 적립] [30%off][토리버치 공식]키라 쉐브론 체인 월렛,"455,000원",luxury
167,[친구맺고 3% 적립] [30%off][토리버치 공식]맥그로우 스파졸라토 바이 폴드 월렛,"210,000원",luxury
168,MUSEO 소프트 미니 백,"1,560,000원",luxury
169,[친구맺고 3% 적립] [30%off][토리버치 공식]밀러 미디엄 플랩 월렛,"231,000원",luxury
170,Maiko Medium Shopping Bag,"669,000원",luxury
171,버버리 40003281 토날 경량 체크 울 캐시미어 머플러,"399,000원",luxury
172,Andre Cardholder,"159,000원",luxury
173,가죽 키 체인 지갑,"656,000원",luxury
174,몽블랑 M_Gram 4810 8cc 지갑 128638,"550,000원",luxury
175,마크제이콥스 Mini Compact Wallet GlamShot_Pebble_MBACM22,"269,500원",luxury
176,[T 라인] 남성 그레인 레더 리버서블 T 벨트 40MM,"1,090,000원",luxury
177,TRUNK 클러치 백,"1,260,000원",luxury
178,버버리 빈티지 체크 레더 반지갑 8057954,"380,000원",luxury
179,[공식]롱샴 르 플리아쥬 오리지널 파우치 34175089001,"135,000원",luxury
180,[잭슨] 남성 레더 나일론 스니커즈,"1,320,000원",luxury
181,AMI H21K203 018 265 아미 드 꾀흐 하트 인타르시아 남성니트,"479,000원",luxury
182,[MARKDOWN 30% 할인]RELATIVITY 미디엄 백,30%,luxury
183,[오피디아] GG 지갑,"760,000원",luxury
184,마이크로 알렉사,"820,000원",luxury
185,[33%추가]마크제이콥스 E- The Shutter_Brown,"870,000원",luxury
186,[친구맺고 3% 적립] [30%off][토리버치 공식]머서 엠보스드 나노 크로스바디,"343,000원",luxury
187,[오피디아] GG 미니백,"1,430,000원",luxury
